"ClassName","PropertyName","PropertyValue","PropertyCimType","PropertyFlags","PropertyQualifiers","PropertyReferenceClassName"
"SMS_TaskSequence_NetworkAdapterSettings","DNSServerList",,"StringArray","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_NetworkAdapterSettings","EnableDHCP",,"Boolean","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_NetworkAdapterSettings","EnableDNSRegistration",,"Boolean","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_NetworkAdapterSettings","EnableFullDNSRegistration",,"Boolean","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_NetworkAdapterSettings","EnableIPProtocolFiltering",,"Boolean","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_NetworkAdapterSettings","EnableLMHOSTS",,"Boolean","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_NetworkAdapterSettings","EnableTCPFiltering",,"Boolean","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_NetworkAdapterSettings","EnableUDPFiltering",,"Boolean","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_NetworkAdapterSettings","EnableWINS",,"Boolean","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_NetworkAdapterSettings","GatewayCostMetric",,"UInt32","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_NetworkAdapterSettings","Gateways",,"StringArray","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_NetworkAdapterSettings","Index",,"UInt32","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_NetworkAdapterSettings","IPAddressList",,"StringArray","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_NetworkAdapterSettings","IPProtocolFilterList",,"StringArray","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_NetworkAdapterSettings","MACAddress",,"String","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_NetworkAdapterSettings","Name",,"String","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_NetworkAdapterSettings","SubnetMask",,"StringArray","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_NetworkAdapterSettings","TCPFilterPortList",,"SInt32Array","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_NetworkAdapterSettings","TcpipNetbiosOptions",,"UInt32","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_NetworkAdapterSettings","UDPFilterPortList",,"SInt32Array","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_NetworkAdapterSettings","WINSServerList",,"StringArray","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_Step","Condition",,"Instance","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection","SMS_TaskSequence_Condition"
"SMS_TaskSequence_Step","ContinueOnError",,"Boolean","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_Step","Description",,"String","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_Step","Enabled",,"Boolean","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_Step","Name",,"String","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_Action","Condition",,"Instance","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection","SMS_TaskSequence_Condition"
"SMS_TaskSequence_Action","ContinueOnError",,"Boolean","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_Action","Description",,"String","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_Action","Enabled",,"Boolean","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
"SMS_TaskSequence_Action","Name",,"String","Property, NullValue","Microsoft.Management.Infrastructure.Internal.Data.CimPropertyQualifierCollection",
