"Index","Group","Name","ObjectClass","PackageID","Description","Enabled","ContinueOnError","SupportedEnvironment","ConditionType","Condition","Property0","Property1","Property2","Property3","Property4","Property5","Property6","Property7","Property8","Property9","Property10","Property11","Property12","Property13","Property14","Property15","Property16","Property17","Property18","Property19","Property20"
"1",,"Use Toolkit Package","BDD_UsePackage","CM100018","","True","False","WinPEandFullOS",,," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2",,"Gather","BDD_Gather","CM100019","","True","False","WinPEandFullOS",,,"GatherLocalOnly: False","RulesFile: customsettings.ini"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"3","Install Applications","Install Applications","SMS_TaskSequence_Group",,"","True","False",,,," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"4","Install Applications","Install CMTrace - Package","SMS_TaskSequence_InstallSoftwareAction","CM100011","","True","False","FullOS",,,"BaseVariableName: ","ContinueOnInstallError: ","ProgramName: Install"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"5","Install Applications","Install CMTrace - App","SMS_TaskSequence_InstallApplicationAction",,"","True","False","FullOS",,,"AppInfo: 
instance of SMS_TaskSequence_ApplicationInfo
{
	Description = ""Valid"";
	DisplayName = ""Configuration Manager Trace Log Tool"";
	Name = ""ScopeId_02D1E5C7-246E-4067-9A6F-FF2DBAFC740C/Application_f60eb729-9470-4260-9c88-b75197c5fee2"";
};
","ApplicationName: ScopeId_02D1E5C7-246E-4067-9A6F-FF2DBAFC740C/Application_f60eb729-9470-4260-9c88-b75197c5fee2","BaseVariableName: ","ContinueOnInstallError: False","NumApps: 1","RetryCount: 2"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","Apps Broken","Apps Broken","SMS_TaskSequence_Group",,"","True","False",,,," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"7","Apps Broken","Restart Computer","SMS_TaskSequence_RebootAction",,"","True","False","WinPEandFullOS",,,"Message: ","MessageTimeout: 1","Target: HD"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"8",,"Run Fake PowerShell Script","SMS_TaskSequence_RunPowerShellScriptAction","CM100018","Does nothing","True","False","WinPEandFullOS",,,"ExecutionPolicy: Bypass","Parameters: -Param $false","ScriptName: Get-Nothing.ps1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"9",,"Run Fake PowerShell Script - Condition","SMS_TaskSequence_RunPowerShellScriptAction","CM100018","","True","False","WinPEandFullOS",,,"ExecutionPolicy: Bypass","Parameters: -Param $false","ScriptName: Get-Nothing.ps1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"10",,"Set FakeVariable","SMS_TaskSequence_SetVariableAction",,"Set fake var","True","True","WinPEandFullOS",,,"VariableName: FakeVariable","VariableValue: idontexist"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"11",,"Set FakeVariable - Disabled","SMS_TaskSequence_SetVariableAction",,"","False","False","WinPEandFullOS",,,"VariableName: FakeVariable","VariableValue: idontexist"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"12","Group Uno","Group Uno","SMS_TaskSequence_Group",,"","True","False",,,," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"13","Group Uno","Install Software Updates","SMS_TaskSequence_InstallUpdateAction",,"","True","False","FullOS",,,"RetryCount: 2","Target: Mandatory"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"14",,"Cond Test 4a","SMS_TaskSequence_RunCommandLineAction",,"","True","False","WinPEandFullOS","SMS_TaskSequence_FolderConditionExpression","Folder: C:\temp","CommandLine: cmd /c","DisableWow64Redirection: False","RunAsUser: False","SuccessCodes: 0 3010","UserName: ","UserPassword: ","WorkingDirectory: "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"15",,"Cond Test 4b","SMS_TaskSequence_RunCommandLineAction",,"","True","False","WinPEandFullOS","SMS_TaskSequence_FolderConditionExpression","Folder: C:\temp
DateTime notEquals 10/10/2015 22:13:52","CommandLine: cmd /c","DisableWow64Redirection: False","RunAsUser: False","SuccessCodes: 0 3010","UserName: ","UserPassword: ","WorkingDirectory: "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"16",,"Cond Test 5a","SMS_TaskSequence_RunCommandLineAction",,"","True","False","WinPEandFullOS","SMS_TaskSequence_RegistryConditionExpression","Key: HKEY_LOCAL_MACHINE\Software\Humana\OSD
Type: REG_SZ
Condition: exists","CommandLine: cmd /c","DisableWow64Redirection: False","RunAsUser: False","SuccessCodes: 0 3010","UserName: ","UserPassword: ","WorkingDirectory: "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
