"Name","Version","Package","Type","Size","Source"
"Visual Studio","2008 w/Team Explorer and TFS PT","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_55a906ff-7b6f-4784-b603-596ad2161259/1","Application","2742.9228219986","\\lounaswps01\Idrive\D907ATS\Source\1903_v2"
"Course Manager","6.6.75","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_40e57549-79b2-43ea-9dda-a7de958976db/1","Application","64.7428646087646","\\lounaswps01\idrive\d907ats\source\3816"
"Enterprise Guide","4.3b","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_1133f930-e967-4a98-9127-9ac265731c31/1","Application","1089.03736495972","\\lounaswps01\idrive\d907ats\source\4246\app-v"
"PCPricer","2012.10.04","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_4fd8179c-b8bd-48b2-99ab-4d74f2776757/1","Application","1392.47541046143","\\lounaswps01\idrive\d907ats\source\4227\install\App-V"
"SecureFX","7.0.2 32bit","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_c5e46ba6-dcf5-4e6f-a648-dc0f0f7a0283/1","Application","0","\\lounaswps01\idrive\d907ats\source\4522\App-V"
"Chrome For Business","23","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_85919e3b-1efc-4d86-94e4-45f8f5c7c211/1","Application","107.888660430908","\\lounaswps01\idrive\D907ats\source\4542\app-v"
"Office Document Imaging","2007","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_496a0851-32dc-49a5-8221-478dac1a4522/1","Application","646.215404510498","\\lounaswps01\idrive\D907ats\source\4095\app-v"
"iReports","4.8.0","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_13e60d31-f3a4-4613-9303-78510c9d6f0e/1","Application","145.579141616821","\\lounaswps01\idrive\D907ats\source\4496\App-V"
"Configuration Manager Console","2007","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_ba1fa529-164a-405c-9af2-08ce6fa7cf09/1","Application","129.966393470764","\\lounaswps01\idrive\D907ats\source\4114\app-v"
"CAC Chameleon Suite","2.8","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_33e7382e-3610-49c1-a368-7783321e0eb3/1","Application","34.2445707321167","\\lounaswps01\idrive\D907ats\source\4071\app-v"
"Guidance Center Manager","12.0.12.2","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_2cfcdecc-d87b-4127-8ddc-8adc0607ac0d/1","Application","3.22458648681641","\\lounaswps01\idrive\D907ats\source\4635\app-v"
"eFreedom AS","7.0.3.0","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_6c2f0e73-6742-4f15-8461-6821f9aaebe6/1","Application","1286.42886924744","\\lounaswps01\idrive\D907ats\source\4493\app-v"
"iReports","5.0.1","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_bb8b31d4-6343-4361-8047-73aa67dbca95/1","Application","147.51122379303","\\lounaswps01\idrive\D907ats\source\4967\App-V"
"US Zip Code Data Deluxe Monthly Update 2012a Suite","1","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_bbb01e98-a117-4c4a-b5e0-0c19e32ac365/1","Application","14.0412082672119","\\lounaswps01\idrive\d907ats\source\4807\app-v"
"XMLSpy","Enterprise 2013 w SP1","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_173b8205-9dc7-4d7a-992e-bc8dc8be6634/1","Application","721.275237083435","\\lounaswps01\idrive\D907ats\source\4354\App-V"
"XMLSpy","Professional 2013 w SP1","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_92414281-3ab7-46d5-8fbe-899488dd6fd2/1","Application","589.511531829834","\\lounaswps01\idrive\D907ats\source\4353\App-V"
"TweetDeck Desktop","2.01","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_f918f9bf-b1a3-4e31-817e-4a26c0ca86d4/1","Application","45.1935081481934","\\lounaswps01\idrive\D907ats\source\4673\install"
"Safari","5.1.7","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_acd88497-d7fa-453f-8251-a778d3f33346/1","Application","162.903280258179","\\lounaswps01\idrive\d907ats\4298\app-v\data"
"Process Metrics Time Tracking","1.4","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_ac808303-10fd-4ec0-954c-51f8318720a0/1","Application","1.91121578216553","\\lounaswps01\idrive\d907ats\source4576\app-v"
"Para Technologies Stretch Break Pro 6.1","1","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_1f1155f8-8bb4-4db4-bbf7-705192b00896/1","Application","43.5359525680542","\\lounaswps01\idrive\d907ats\4125\app-v"
"SAS Institute Inc. Enterprise Guide","4.3b","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_26551f36-5a8c-44e7-96eb-873993bd5f58/1","Application","1140.55716609955","\\lounaswps01\idrive\d907ats\4246\app-v"
"Windows Script Documentation","5.6","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_efbbec4e-d4ed-4a48-99bb-7b0786304030/1","Application","2.82183933258057","\\lounaswps01\idrive\d907ats\4020\App-V"
"Enterprise Architect","10.0","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_8d94903e-66ac-486b-aee5-cc96d62aac81/1","Application","243.319581985474","\\lounaswps01\idrive\d907ATS\source\5058\app-v"
"DeskView","11","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_f7ac0aef-96b9-406a-88d4-36150bdb4d5e/1","Application","47.4652862548828","\\lounaswps01\idrive\D907ats\source\4123\app-v"
"GameShow Pro","4","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_a75f8e61-ba39-4d62-8134-5ff90075c59d/1","Application","49.7117595672607","\\lounaswps01\idrive\d907ats\source\4030\install\appv"
"PBP Beta Software","2014","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_e9e5ba39-acc9-4919-be32-3f2323ef62f1/1","Application","149.013075828552","\\lounaswps01\idrive\D907ats\source\5039\app-v"
"eFreedom Annual Statment","7.1.0.0","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_855c14bd-db24-4914-a527-0986d47b64df/1","Application","1179.87620258331","\\lounaswps01\idrive\d907ATS\source\5270\app-v"
"Romeo and Dye's Section 16 Filer","3.7.202","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_f0d590d9-b0bf-4080-9b17-e2c68db4d169/1","Application","15.9368047714233","\\lounaswps01\idrive\D907ats\source\4546\install\appv"
"Reflection for Unix and OpenVMS 2011","R3","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_3647eba0-c39f-4b7e-867b-2401fa8db85a/2","Application","271.517929077148","\\lounaswps01\pdrive\d907ats\4033\install"
"Comp Benefits Auditing","4.2.2","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_ac62b59c-67a1-43f5-a93e-2b3f60c61652/1","Application","30.9825630187988","\\lounaswps01\pdrive\d907ats\5513\install"
"Deskview - LOUAPPWPS138","11","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_960a22ba-2941-461c-b68b-334358150b5f/2","Application","48.155161857605","\\lounaswps01\idrive\d907ats\Source\5449\install"
